Num,Name,Tel,Add,Lat,Lon
953478,新世界,(03)5242975,新竹市北區中正路121號,24.8079157,120.9675051
976688,正國,(03)5436459,新竹市北區中正路286之1號一樓,24.812867,120.964159
132297,空軍,(03)5430162,新竹市北區中正路385號387號1樓,24.815398,120.961016
173922,竹光,(03)5323204,新竹市北區文雅里18鄰竹光路123號,24.8128249,120.9592029
920191,水擇,(03)5210801,新竹市北區水田里中正路194號,24.8102453,120.9659756
896137,恆新,(03)5242900,新竹市北區民富里7鄰北大路342號,24.8058545,120.9617331
136152,宏光,(03)5317661,新竹市北區光華一街29號1樓,24.816247,120.973306
174176,竹森,(03)5424164,新竹市北區光華東街107號,24.817797,120.9746691
116664,磐石,(03)5252699,新竹市北區西大路695號,24.8113724,120.9562309
886761,竹城,(03)5250326,新竹市北區西門里中山路100號,24.8045972,120.9653234
120010,冠盈,(03)5364694,新竹市北區西濱路1段286號,24.8355189,120.9294051
112466,聖華,(03)5363894,新竹市北區西濱路1段399號,24.8409764,120.9323917
985866,世達,(03)5268728,新竹市北區延平路一段159號1樓,24.804399,120.956522
950033,盛天,(03)5369457,新竹市北區延平路三段545號,24.8390614,120.9334349
150723,新大,(03)5426095,新竹市北區東大路3段2號,24.8354255,120.9449036
155290,東妮,(03)5362446,新竹市北區東大路3段718號720號1樓,24.8407081,120.9374513
118730,竹陵,(03)5153239,新竹市北區東大路二段174號,24.8157687,120.9660339
977740,菄大,(03)5364729,新竹市北區東大路四段262號,24.8450251,120.9290172
136451,東中,(03)5212078,新竹市北區東門街167號,24.8042424,120.9669066
864808,城北,(03)5239470,新竹市北區城北街43號,24.8098188,120.9640286
164467,竹灣,(03)5263560,新竹市北區客雃里延平路一段252號1樓,24.805119,120.9529779
985796,海寶,(03)5367934,新竹市北區海濱里榮濱路1號,24.8400288,120.9295784
957687,大潤,(03)5359394,新竹市北區湳雅里22鄰湳雅街46號,24.817883,120.970796
124621,雅新,(03)5319675,新竹市北區湳雅街154號,24.8206472,120.9740921
151379,新雅竹,(03)5456467,新竹市北區湳雅街255號,24.821983,120.9753794
149170,民富,(03)5262998,新竹市北區新民里西大路642號,24.8078891,120.961239
973047,新悅,(03)5428767,新竹市北區經國路二段166號168號1樓,24.810943,120.962472
165873,富盛,(03)5224473,新竹市北區經國路二段346號1樓,24.8081129,120.9580922
932862,福盛,(03)5327718,新竹市北區鐵道路3段2號,24.819801,120.9612222
122706,厚稼,(03)5425780,新竹市北區鐵道路二段280號,24.8232533,120.9685557
116000,鉅晶,(03)5780840,新竹市東區力行一路18號4樓,24.7713105,121.0180857
165851,矽導,(03)5794397,新竹市東區力行一路1號,24.7718083,121.0185227
126410,聯電T,(03)6687786,新竹市東區力行二路3號7樓,24.7703771,121.019247
991034,聯電B,(03)6686453,新竹市東區力行二路3號B1,24.7703771,121.019247
991056,聯電F,(03)5794222,新竹市東區力行六路3號B1樓,24.7736866,121.0159957
902849,台積-12,(03)6663357,新竹市東區力行六路8號,24.7730433,121.0128003
991067,聯電E,(03)5797804,新竹市東區力行路17號7樓,24.7656491,121.024529
922577,友達五,(03)5773422,新竹市東區力行路23號6樓,24.7622827,121.0202192
972240,鑫八廠,(03)6668578,新竹市東區力行路25號1樓,24.7627456,121.0193323
970451,世界先進,(03)5778992,新竹市東區力行路9號2樓,24.7719762,121.0283872
155647,千甲,(03)5750224,新竹市東區千甲路235號,24.8078284,121.0059919
121415,交大,(03)5724785,新竹市東區大學路1001號(第二餐廳),24.789302,120.997197
147015,科技城,(03)5670954,新竹市東區工業東四路42號,24.7738145,121.0093764
173955,華國,(03)5332309,新竹市東區中華路一段107號109號,24.8160556,120.993773
128173,新竹站,(03)5249543,新竹市東區中華路二段445號,24.8016432,120.9716955
915915,竹運,(03)5266371,新竹市東區中華路二段471號,24.80126,120.970554
991399,鳳美,(03)5337159,新竹市東區中華路二段64號,24.808314,120.9810001
130833,泰一,(03)5254716,新竹市東區中華路二段668號,24.7984085,120.9655935
916631,竹揚,(03)5318119,新竹市東區文華里北大路38號,24.8128611,120.972843
920032,千久,(03)5338512,新竹市東區民主路154號156號,24.8125396,120.9784124
111452,新揚,(03)5316942,新竹市東區民生路149號151號153號1樓,24.8107423,120.9764667
137030,新竹民,(03)5341957,新竹市東區民族路114號116號1樓,24.8077169,120.9772419
166348,雙民,(03)5347583,新竹市東區民族路205號1樓,24.8098441,120.9800926
951678,里客,(03)5244323,新竹市東區民族路7號1樓,24.8030264,120.9717255
155197,風城,(03)5331847,新竹市東區民權路181號1樓,24.809542,120.973719
151564,寶捷,(03)5341705,新竹市東區田美三街35-1號,24.8156198,120.9767545
136819,梅竹,(03)5714668,新竹市東區光明里14鄰大學路56號58號60號,24.7896068,121.0007833
118589,關東,(03)5782975,新竹市東區光復路一段187號189號,24.7815998,121.0219475
161170,科學,(03)6686852,新竹市東區光復路一段527號527之1號1樓,24.7848061,121.0133336
164962,清大,(03)5166254,新竹市東區光復路二段101號,24.7979985,120.9910587
139058,復竹,(03)5717071,新竹市東區光復路二段163號,24.7991719,120.992408
123204,新馬偕,(03)5718278,新竹市東區光復路二段690號1樓,24.8000704,120.9907507
961402,自興,(03)5354292,新竹市東區自由路69號,24.8130659,120.980608
138158,大遠百,(03)5210960,新竹市東區西門街105號,24.801623,120.9637915
135861,保忠,(03)5738890,新竹市東區忠孝路1號,24.8006042,120.9897528
942191,佑忠,(03)5619024,新竹市東區忠孝路430號432號,24.803103,120.983294
154828,青草湖,(03)5296583,新竹市東區明湖里明湖路3鄰1012-1號,24.763925,120.9879438
944326,天湖,(03)5621482,新竹市東區明湖路180號,24.7917615,120.9683786
122979,明瑚,(03)5191443,新竹市東區明湖路410號1樓,24.7851641,120.9674777
972262,煙波,(03)5296586,新竹市東區明湖路967號1樓,24.7736302,120.9668213
141590,竹高,(03)6885432,新竹市東區東山街17號19號21號1樓,24.795899,120.9799
991506,新勝,(03)5715124,新竹市東區東光路75號1樓,24.8036049,120.9867602
980791,東環,(03)5267230,新竹市東區東門街36號1樓,24.804347,120.973507
980735,鑫旭升,(03)5619048,新竹市東區東南街98號1樓,24.7980684,120.973668
110105,篤明,(03)5284791,新竹市東區林森路184號,24.799247,120.964089
885621,俊友,(03)5263172,新竹市東區林森路81號,24.8008758,120.9673892
977876,十七街,(03)5798357,新竹市東區金山十七街1號,24.7767284,121.0240466
142629,金山六,(03)5786334,新竹市東區金山六街51號1樓,24.7769462,121.0196121
121150,宏欣,(03)5772746,新竹市東區金山街152號156號1樓,24.7758662,121.0258294
992864,金山街,(03)5794468,新竹市東區金山街30號1樓,24.777597,121.021076
120962,耀明,(03)5622948,新竹市東區南大路521號1樓,24.7931734,120.9633546
142010,育賢,(03)5624805,新竹市東區南大路611號613號1樓,24.7882588,120.9673034
131386,建盛,(03)5748898,新竹市東區建中一路52號1樓,24.8011508,120.9931269
158406,公學,(03)5748532,新竹市東區建功一路93號,24.8019762,120.9951904
874609,高清,(03)5737884,新竹市東區建功里建功路6號1樓,24.796193,120.9982465
943046,新竹建華,(03)5621048,新竹市東區建華街2號1樓,24.7934375,120.9742821
972985,新唐,(03)5787840,新竹市東區研新三路4號2樓,24.7806712,120.990611
137694,智邦,(03)6661816,新竹市東區科學工業園區研新三路1號,24.778065,120.988169
922566,新竹友達,(03)5789976,新竹市東區科學園區力行二路1號,24.7739636,121.0193259
