X.,Game,Release.date,Price,Score.rank,Userscore...Metascore,Owners,Playtime,Median,Developer.s,Publisher.s
246,Blockland,16-Dec-13,9.99,0.28,67,"500,000?..?1,000,000",52:12:00,34:48:00,"Eric Hartman, Ben Garney, Anthony Rotondo",Step 1 Games LLC
399,FINAL FANTASY XI: Ultimate Collection Seekers Edition,19-Apr-13,9.89,0.6,84,"20,000?..?50,000",41:52:00,27:54:00,Square Enix,Square Enix
7,Brothers - A Tale of Two Sons,3-Sep-13,14.99,0.9,94/90,"1,000,000?..?2,000,000",30:56:00,91:01:00,Starbreeze Studios AB,505 Games
403,Clickteam Fusion 2.5,5-Dec-13,99.99,0.77,90,"100,000?..?200,000",29:03:00,26:59:00,Clickteam,Clickteam
78,Baldur's Gate: Enhanced Edition,16-Jan-13,19.99,0.63,85/78,"500,000?..?1,000,000",26:37:00,05:11,Beamdog,Beamdog
6,Dota 2,9-Jul-13,0,0.66,86/90,"100,000,000?..?200,000,000",25:45:00,12:33,Valve,Valve
79,Expeditions: Conquistador,30-May-13,19.99,0.49,79/77,"100,000?..?200,000",22:17,14:16,Logic Artists,THQ Nordic
59,Fallen Enchantress: Legendary Heroes,22-May-13,24.99,0.47,78/80,"200,000?..?500,000",19:08,06:22,Stardock Entertainment,Stardock Entertainment
186,Rise of Venice,27-Sep-13,19.99,0.16,57/66,"50,000?..?100,000",19:05,06:21,,Kalypso Media Digital
145,Warframe,25-Mar-13,0,0.84,92/71,"20,000,000?..?50,000,000",17:05,04:21,Digital Extremes,Digital Extremes
283,Kenshi,20-Mar-13,19.99,0.74,89,"200,000?..?500,000",13:38,07:02,Lo-Fi Games,Lo-Fi Games
66,State of Decay,5-Nov-13,NA,0.6,84/79,"500,000?..?1,000,000",13:36,04:32,Undead Labs,Microsoft Studios
112,Arma 3,12-Sep-13,39.99,0.74,89/74,"2,000,000?..?5,000,000",12:24,03:18,Bohemia Interactive,Bohemia Interactive
17,Path of Exile,23-Oct-13,0,0.84,92/86,"5,000,000?..?10,000,000",11:52,01:44,Grinding Gear Games,Grinding Gear Games
94,Shadowrun Returns,25-Jul-13,14.99,0.71,88/76,"1,000,000?..?2,000,000",11:14,00:50,Harebrained Schemes,Paradox Interactive
435,Tales of Maj'Eyal,12-Dec-13,6.99,0.93,95,"200,000?..?500,000",10:42,09:20,Netcore Games,Netcore Games
11,Europa Universalis IV,13-Aug-13,39.99,0.56,82/87,"1,000,000?..?2,000,000",10:42,04:45,Paradox Development Studio,Paradox Interactive
76,Desperados: Wanted Dead or Alive,20-Nov-13,4.99,0.41,75/78,"100,000?..?200,000",10:28,04:15,Spellbound,THQ Nordic
110,Neverwinter,5-Dec-13,0,0.47,78/74,"5,000,000?..?10,000,000",10:24,02:39,Cryptic Studios,Perfect World Entertainment
65,PAYDAY 2,13-Aug-13,9.99,0.58,83/79,"10,000,000?..?20,000,000",10:15,02:26,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB
43,War Thunder,15-Aug-13,0,0.51,80/81,"10,000,000?..?20,000,000",10:08,02:10,Gaijin Entertainment,Gaijin Entertainment
261,7 Days to Die,13-Dec-13,24.99,0.49,79,"2,000,000?..?5,000,000",09:38,02:35,The Fun Pimps,The Fun Pimps Entertainment LLC
473,SNOW,10-Oct-13,0,0.27,66,"1,000,000?..?2,000,000",09:24,02:22,Poppermost Productions,Poppermost Productions
502,DayZ,16-Dec-13,34.99,0.21,61,"2,000,000?..?5,000,000",08:44,04:14,Bohemia Interactive,Bohemia Interactive
211,Deadly Premonition: The Director's Cut,29-Oct-13,24.99,0.31,69/59,"200,000?..?500,000",07:49,02:36,Rising Star Games,Rising Star Games
73,Baldur's Gate II: Enhanced Edition,15-Nov-13,19.99,0.63,85/78,"500,000?..?1,000,000",07:27,07:26,Beamdog,Beamdog
306,Project Zomboid,8-Nov-13,14.99,0.66,86,"500,000?..?1,000,000",07:16,03:57,The Indie Stone,The Indie Stone
315,Space Engineers,23-Oct-13,24.99,0.68,87,"2,000,000?..?5,000,000",06:57,02:05,Keen Software House,Keen Software House
155,Resident Evil 6 / Biohazard 6,22-Mar-13,29.99,0.47,78/69,"1,000,000?..?2,000,000",06:47,02:22,Capcom,Capcom
96,Total War: ROME II - Emperor Edition,2-Sep-13,59.95,0.28,67/76,"2,000,000?..?5,000,000",06:35,03:00,CREATIVE ASSEMBLY,SEGA
249,Panzar,25-Nov-13,0,0.25,65,"1,000,000?..?2,000,000",06:13,04:39,Panzar Studio,OVALIS INVESTMENTS LIMITED
