name,cri.rate,user.rate,date,content
"
                                    Total War: WARHAMMER II
                                                                    ",87,7.5,9,"
                            Prince Tyrion, Defender of Ulthuan, guides the High Elves in their desperate efforts to stabilise the vortex as it roils above their home continent. Atop his palanquin-throne, the Slann Mage-Priest Mazdamundi directs his Lizardmen war-hosts as they surge northward from Lustria. He, too, is intent on preventing cataclysm, though the methods of The Old Ones must prevail. The Witch King Malekith and his sadistic Dark Elf hordes spew forth from Naggaroth and their labyrinthine Black Arks. He tastes great weakness in the vortex -- and great opportunity in its demise. Meanwhile a fourth, secretive race stirs, their motives obscured by sinister plots and machinations. The time for revelation is nigh... The second in a trilogy and sequel to the award-winning Total War: WARHAMMER, Total War: WARHAMMER II brings players a breathtaking new narrative campaign, set across the vast continents of Lustria, Ulthuan, Naggaroth and the Southlands. The Great Vortex Campaign builds pace to culminate in a definitive and climactic endgame, an experience unlike any other Total War title to date. Playing as one of 8 Legendary Lords across 4 iconic races from the world of Warhammer Fantasy Battles, players must succeed in performing a series of powerful arcane rituals in order to stabilise or disrupt The Great Vortex, while foiling the progress of the other races. Each Legendary Lord has a unique geographical starting position, and each race offers a distinctive new playstyle with unique campaign mechanics, narrative, methods of war, armies, monsters, Lores of Magic, legendary characters, and staggering new battlefield bombardment abilities.
                            "
"
                                    Wolfenstein II: The New Colossus
                                                                    ",86,6.7,10,"
                            Wolfenstein II: The New Colossus is the highly anticipated sequel to the critically acclaimed, Wolfenstein: The New Order developed by the award-winning studio MachineGames. An exhilarating adventure brought to life by the industry-leading id Tech 6, Wolfenstein II sends players to Nazi-controlled America on a mission to recruit the boldest resistance leaders left. Fight the Nazis in iconic American locations, equip an arsenal of badass guns, and unleash new abilities to blast your way through legions of Nazi soldiers in this definitive first-person shooter. America, 1961. The Nazis maintain their stranglehold on the world. You are BJ Blazkowicz, aka Terror-Billy, member of the Resistance, scourge of the Nazi empire, and humanitys last hope for liberty. Only you have the guts, guns, and gumption to return stateside, kill every Nazi in sight, and spark the second American Revolution.
                            "
"
                                    PlayerUnknown's Battlegrounds
                                                                    ",86,4.5,12,"
                            PLAYERUNKNOWN'S BATTLEGROUNDS is a last-man-standing shooter being developed with community feedback. Players must fight to locate weapons and supplies in a massive 8x8 km island to be the lone survivor. This is BATTLE ROYALE.
                            "
"
                                    Robo Recall
                                                                    ",86,7.6,3,"
                            An eruption of defective, homicidal robots is inundating RoboReady customer service, where you¡¦ve been promoted from tech repairman to Recaller. Thrown into the fray, you must rely on your wits, reflexes and a vast arsenal of weaponry to eliminate the robot uprising. Use creative combat tactics and skill shots to earn high scores as you teleport through city streets and rooftops in an awe-inspiring ballet of bullets. Tear apart your robot foes and use them to fend off the enemy onslaught. Unlock, customize and test weapons before taking on challenges that put your newfound skills to the test. [Epic Games]
                            "
"
                                    West of Loathing
                                                                    ",86,7.7,8,"
                            West of Loathing ¡X a slapstick comedy stick-figure wild west adventure role-playing game.
                            "
"
                                    Injustice 2
                                                                    ",86,7.7,11,"
                            Every battle defines you.

Power up and build the ultimate version of your favorite DC legends in INJUSTICE 2. With a massive selection of DC Super Heroes and Super-Villains, INJUSTICE 2 allows you to equip every iconic character with unique and powerful gear earned throughout the game. Experience an unprecedented level of control over how your favorite characters look, how they fight, and how they develop across a huge variety of game modes. This is your super Hero. Your Journey. Your Injustice.
                            "
"
                                    Paradigm
                                                                    ",85,7.4,4,"
                            Paradigm is a surreal adventure game set in the strange and post apocalyptic Eastern European country of Krusz. Play as the handsome mutant, Paradigm, who's past comes back to haunt him in the form of a genetically engineered sloth that vomits candy.
                            "
"
                                    Battlerite
                                                                    ",85,7.5,11,"
                            BATTLERITE is an action-packed team arena brawler. Experience the unique combination of a top-down shooter with a fast-paced fighting game. Challenge friends and others in a battle of reaction, unleashing the champion within you. 
                            "
"
                                    Galactic Civilizations III: Crusade
                                                                    ",85,6.7,5,"
                            Experience a new side of Galactic Civilizations III with the Crusade expansion. Discover your enemy¡¦s weak points with espionage, actively invade and conquer planets, and help talented citizens rise to power and drive your civilization into a golden age. With a detailed civilization builder tool for Steam workshop, espionage, revamped invasions, Galactic Citizens system, new races and civilizations, and more, Crusade adds a host of depth for Galactic Civilizations III.
                            "
"
                                    SteamWorld Dig 2
                                                                    ",85,8.4,9,"
                            SteamWorld Dig is back! Dig deep, gain riches and unearth the terrors of the underworld in this platform mining adventure influenced by classic Metroidvania style games.
                            "
"
                                    Starcraft Remastered
                                                                    ",85,7.7,8,"
                            StarCraftR: Remastered upgrades the essential sci-fi strategy experience from beginning to end. Welcome back to the original game and its award-winning expansion, StarCraft: Brood War.
                            "
"
                                    Planescape: Torment - Enhanced Edition
                                                                    ",85,6.8,4,"
                            Uncover secrets of past lives in this story-rich, tactical roleplaying game set in Sigil, a dark fantasy city at the heart of the Dungeons & Dragons multiverse. Explore the planes, survive combat alongside a party of bizarre companions, and solve puzzles unlike any ever seen in the genre.
                            "
"
                                    Rakuen
                                                                    ",84,8.1,5,"
                            Rakuen is a story-based adventure game about a little Boy who becomes bored with living in a hospital, and eventually asks his mother if she'll escort him to the fantasy world from his favorite storybook. Throughout the game, the Boy begins to learn more about the patients who live around him. They each have their own secrets and struggles that are mysteriously tied to the strange hospital. In helping those around him, the Boy deals with questions about empathy, hope, and what it means to leave behind a legacy by coming to terms with his own story.
                            "
"
                                    Gorogoa
                                                                    ",84,8.4,12,"
                            Gorogoa is an elegant evolution of the puzzle genre, told through a beautifully hand-drawn story designed and illustrated by Jason Roberts.
                            "
"
                                    Nex Machina: Death Machine
                                                                    ",84,6.7,6,"
                            Nex Machina is an intense arcade style twin-stick shooter from Housemarque. Taking hints from both Robotron and Smash TV, Nex Machina focuses on pure action, voxel destruction and competition in the distant, cablepunk themed future.
                            "
"
                                    NieR: Automata
                                                                    ",84,8.6,3,"
                            The distant future

Invaders from another world attack without warning, unleashing a new type of threat: weapons known as machine lifeforms. In the face of this insurmountable threat, mankind is driven from Earth and takes refuge on the Moon.

The Council of Humanity organizes a resistance of android soldiers in an effort to take back their planet. To break the deadlock, the Resistance deploys a new unit of android infantry: YoRHa.

In the forsaken wasteland below, the war between the machines and the androids rages on. A war that is soon to unveil the long-forgotten truth of this world...
                            "
"
                                    Nioh: Complete Edition
                                                                    ",84,6.7,11,"
                            Ready to die? Experience the newest brutal action game from Team NINJA and Koei Tecmo Games. In the age of samurai, a lone traveler lands on the shores of Japan. He must fight his way through the vicious warriors and supernatural Yokai that infest the land in order to find that which he seeks.

                            "
"
                                    Thimbleweed Park
                                                                    ",84,8.1,3,"
                            Thimbleweed Park is the curious story of two washed up federal agents called in to investigate a dead body found in the river just outside of town, bloated and pixelated from a death come too soon.
                            "
"
                                    Project CARS 2
                                                                    ",84,7,9,"
                            Project CARS 2 is the next evolution in the award-winning racing series, featuring the most iconic cars racing under the most thrilling conditions to deliver the Ultimate Driver Journey.

Created by gamers, tested by world-class racing drivers from Team SMS-R, and the definitive choice of Esports pros... Project CARS 2 captures the essence of real racing in the most beautiful, intense, authentic, and technically-advanced racing game on the planet.

FEATURES:

* Over 170 licensed cars from the most iconic brands.
* The largest track roster of any console racing game including ice and dirt tracks.
* New vehicle types and motorsport classes including Rallycross, IndyCar, and Oval.
* Dynamic time of day, weather, and new seasonal conditions.
* New Online Championships mode.
* LiveTrack 3.0 powers dynamic surface conditions that affect vehicle performance and handling, and evolves the track over the course of a race weekend.
* Esports built-in from day one with full ranking, and broadcasting / streaming functionality.
* Bleeding-edge tire physics, advanced AI, and intuitive gamepad control.
                            "
"
                                    The End Is Nigh
                                                                    ",84,7.7,7,"
                            The End Is Nigh is a sprawling adventure platformer where you die a lot, but thats ok because you are probably already dead anyway.
                            "
"
                                    Assassin's Creed Origins
                                                                    ",84,6.7,10,"
                            Set in mysterious Ancient Egypt, Assassin¡¦s Creed Origins is a new beginning. Experience a new way to fight while exploring the Great Pyramids and hidden tombs across the country of Ancient Egypt, and encounter many memorable storylines along your journey. And discover the origin story of the Assassin's Brotherhood. [Ubisoft]
                            "
"
                                    Detention
                                                                    ",83,7.7,1,"
                            Detention is a survival horror game set in 1960s Taiwan under martial law. Incorporated religious elements based in Taiwanese/Chinese culture and mythology, the game provided players with unique graphics and gaming experience.
                            "
"
                                    Guild Wars 2: Path of Fire
                                                                    ",83,7.7,9,"
                            
                            "
"
                                    Hellblade: Senua's Sacrifice
                                                                    ",83,8.2,8,"
                            An independent game from Ninja Theory - makers of Heavenly Sword, Enslaved: Odyssey to the West & DmC: Devil May Cry. Hellblade: Senua's Sacrifice takes you on a journey into savage viking heartland with Senua, a Celtic warrior struggling with trauma & psychosis.
                            "
"
                                    Bleed 2
                                                                    ",83,7,2,"
                            Bleed 2 is a relentless arcade action game featuring air-dodging, bullet-reflecting, and tons of bosses. 
                            "
"
                                    Destiny 2
                                                                    ",83,3.5,10,"
                            In Destiny 2, the last safe city on Earth has fallen and lays in ruins, occupied by a powerful new enemy and his elite army, the Red Legion. Every player creates his own character called a ¡§Guardian,¡¨ humanity¡¦s chosen protectors.  As a Guardian in Destiny 2, players must master new abilities and weapons to reunite the city¡¦s forces, stand together and fight back to reclaim their home. In Destiny 2 players embark on a fresh story filled with new destinations around our solar system to explore, and an expansive amount of activities to discover.  There is something for almost every type of gamer in Destiny 2, including gameplay for solo, cooperative and competitive players set within a vast, evolving and exciting universe. [Bungie]
                            "
"
                                    The Sexy Brutale
                                                                    ",83,7.7,4,"
                            The Sexy Brutale ¡X a never-ending masked ball featuring intrigue, murder and the (quite possibly) occult. Relive the same mysterious day where the guests at the casino mansion are being murdered by the staff over and over again.
                            "
"
                                    The Legend of Heroes: Trails in the Sky the 3rd
                                                                    ",83,7.7,5,"
                            Half a year after Trails in the Sky SC, Father Kevin Graham takes on a routine mission on behalf of the Septian Church. He and his partner are then plunged into a realm that follows an unnaturally strict set of rules and is as intent to open old wounds as it is to keep them behind closed doors.
                            "
"
                                    Steel Division: Normandy 44
                                                                    ",83,7.6,5,"
                            Steel Division: Normandy is a tactical real-time strategy (RTS) game that pits players against AI enemies in a single-player campaign -- or against several opponents in massive 10-on-10 multiplayer battles.
                            "
"
                                    Resident Evil 7: biohazard
                                                                    ",83,7.7,1,"
                            Fear and isolation seep through the walls of an abandoned southern farmhouse. ""7"" marks a new beginning for survival horror with the Isolated View of the visceral new first-person perspective. Powered by the RE Engine, horror reaches incredible heights of immersion as players enter a terrifyingly new world of fear as they fight to survive.
                            "
"
                                    Dark Souls III: The Ringed City
                                                                    ",82,8.3,3,"
                            The Ringed City is the final DLC pack for Dark Souls III. Journey to the world¡¦s end to search for the Ringed City and encounter new lands, new bosses, new enemies with new armor, magic and items. Experience the epic final chapter of a dark world that could only be created by the mind of Hidetaka Miyazaki. 
                            "
"
                                    L.A. Noire: The VR Case Files
                                                                    ",82,6.6,12,"
                            A dark and violent crime thriller set against the backdrop of 1940¡¦s Los Angeles, now in stunning virtual reality. L.A. Noire: The VR Case Files for HTC VIVE places you directly in the shoes of Detective Cole Phelps as you solve brutal crimes, plots and conspiracies inspired by real cases from 1947 Los Angeles, one of the most corrupt and violent times in L.A. history. Featuring seven cases rebuilt specifically for virtual reality, L.A. Noire: The VR Case Files for HTC Vive adds new layers of immersion and realism to Rockstar Games¡¦ atmospheric crime thriller as you solve select cases from the blockbuster original game, spanning mysteries from the Detective desks of Traffic, Arson, Homicide, and more. 
                            "
"
                                    Football Manager 2018
                                                                    ",82,5.6,11,"
                            Fast-track your way to footballing history with the Football Manager 2018. A double-sided Management Masterclass pull-out races you through your first steps in the digital dugout and gears you up for long-term success, helping you transform your team from contenders to champions and elevating you to managerial icon.

Football Manager 2018 achieves an interactive reality in depth, emotion and control like never before, taking you places only accessible in the completely immersive game world. Quite simply, it's the closest thing to doing the job for real.

They say football is a game of opinions and everyone has theirs, but it's only yours that counts around here. You make the decisions now, from who you sign and who you sell, to how you manage your budget. Will you build tactics around the players at your disposal or train them in your vision of how the game should be played? Who you pick and who you bench will affect squad harmony, and its up to you to manage it. Every decision comes back to you.

Get it right and youll be the star of the show, grabbing the newspaper headlines and dominating trends on social media. Theyll write your name in footballing folklore... if you succeed, of course. With unparalleled choices both on and off the pitch, all within the immersive footballing world, it's time to decide what kind of manager do you want to be?
                            "
"
                                    Tekken 7
                                                                    ",82,6.7,6,"
                            Love, Revenge, Pride. Each one of us has a reason to fight. Values are what define us and make us human, regardless of our strengths or weaknesses. There are no wrong motives, just the paths we choose to take. Experience the conclusion of the Mishima clan and unravel the reasons behind each step of their ceaseless fight. Powered by Unreal Engine 4, Tekken 7 features story-driven cinematic battles and intense duels that can be enjoyed with friends and rivals alike through innovative fight mechanics.
                            "
"
                                    Stellaris: Utopia
                                                                    ",82,7.8,4,"
                            Build a Better Space Empire in Stellaris: Utopia. The stars have called you for millennia and now you walk among them. A universe of possibilities is open to your species as it takes its first fitful steps into the great unknown. Here you can turn your back on the divisive politics of the home planet. Here you can build something new. Here you can unify your people and build that perfect society.
                            "
"
                                    Pyre
                                                                    ",82,7.8,7,"
                            Pyre is a party-based RPG in which you lead a band of exiles to freedom through an ancient competition spread across a vast, mystical purgatory.
                            "
"
                                    Super Hydorah
                                                                    ",82,NA,9,"
                            Super Hydorah is a nonlinear horizontal shoot em up designed to offer a challenging and memorable experience, sublimating the wisdom and richness of traditional shmup classics. The game has direct action, nostalgic art and a wide variety of unique spatial content and situations. It is hours of intense fun, alone or with your friends, to face the menace of the Meroptians aboard the Delta Lance.
                            "
"
                                    Forza Motorsport 7
                                                                    ",82,4.1,10,"
                            Experience the thrill of motorsport at the limit. Enjoy graphics at 60fps and native 4K resolution in HDR. Collect and race more than 700 cars, including the largest collection of Ferraris, Porsches, and Lamborghinis ever. Challenge yourself across 30 famous destinations and 200 ribbons, where race conditions change every time you return to the track. [Microsoft]
                            "
"
                                    Prey
                                                                    ",82,8,5,"
                            You awaken aboard Talos I, a space station orbiting the moon in the year 2032. You are the key subject in an experiment meant to change humanity forever ¡V but things have gone terribly wrong. The space station has been overrun by hostile aliens and you are now being hunted. As you delve into the dark secrets of Talos I and your own past, you have to survive using the tools found on the station, your wits, weapons, and mind-bending abilities. [Bethesda Softworks]
                            "
"
                                    Darkest Dungeon: The Crimson Court
                                                                    ",82,6.3,6,"
                            Darkest DungeonR: The Crimson Court is the first expansion for the award-winning grim and gothic RPG by Red Hook Studios. Crimson Court is a parallel campaign experienced alongside the main Darkest Dungeon content that will provide you with new challenges and variation at every difficulty level. The narrative grounding sheds some light on the Ancestor¡¦s early days, and will be presented in the same style of cut-scenes you¡¦ve seen elsewhere in the game.
                            "
"
                                    She Remembered Caterpillars
                                                                    ",82,5.9,1,"
                            A fungipunk fantasy about love, loss, and holding on, told in the format of a color-based puzzle game. A tale as the bond between parent and child, this lush and bewildering title promises to have players testing their wits against a variety of challenges, all beautiful and very strange. 
                            "
"
                                    Torment: Tides of Numenera
                                                                    ",81,7,2,"
                            Torment: Tides of Numenera is a single-player role-playing game which continues the thematic legacy of the critically acclaimed Planescape: Torment by having to face complex and nuanced morality decisions, carefully contemplating deep and reactive choices with consequences that echo throughout the game all the while immersed into a new and strange vision taken from by renowned designer and writer Monte Cook's new tabletop role-playing game, Numenera. In Torment: Tides of Numenera, players must decide for themselves the answer to the eternal question, what does one life matter? Numenera's Ninth World is a fantastic vision of a world in which massive civilizations continue to rise and fall with only cities, monuments, and artifacts left behind to serve as reminders of their past existence. These reminders have become part of the accumulated detritus of eons and now this assortment of ancient power, called the numenera, is there for the taking. One of these humans has discovered a way to harness the numenera to grow strong, to cheat death, to skip across the face of centuries in a succession of bodies. But he discovers an unexpected side effect: You.
                            "
"
                                    Rising Storm 2: Vietnam
                                                                    ",81,7.7,5,"
                            Red Orchestra Series' take on Vietnam: 64-player MP matches; 16-player Skirmish; M16, M79, Hueys and Attack Helicopters; the AK, Double-Barrel Shotguns, Toe-Popper Mines, Tripwires, Tunnels and more. Brutal. Authentic. Gritty. Character customization. And napalm in the morning.
                            "
"
                                    Fortnite
                                                                    ",81,3.2,7,"
                            Epic Games next project has you building forts and stopping a zombie invasion.
                            "
"
                                    Finding Paradise
                                                                    ",81,8.3,12,"
                            A story-driven experience about two doctors traversing through a dying man's memories to artificially fulfill his last wish.
                            "
"
                                    Reigns: Her Majesty
                                                                    ",81,6.9,12,"
                            Reigns: Her Majesty is the revolutionary follow-up to the smash swipe ¡¥em up hit Reigns.
                            "
"
                                    Little Nightmares
                                                                    ",81,8.1,4,"
                            Immerse yourself in Little Nightmares, a dark whimsical tale that will confront you with your childhood fears. Help Six escape The Maw ¡V a vast, mysterious vessel inhabited by corrupted souls looking for their next meal.
                            "
"
                                    FORM
                                                                    ",81,NA,6,"
                            Enter a surreal adventure where puzzles are built from dreams and memories. Solve the mystery behind an ancient artifact. Advance through a world that transforms around you. Transcend this existence.
                            "
"
                                    Pro Evolution Soccer 2018
                                                                    ",81,7.1,9,"
                            PES League Integration ¡V Compete with PES League in new modes including myClub
                            "
"
                                    Stories Untold
                                                                    ",81,6.9,2,"
                            Stories Untold is a compilation tape of four experimental text adventures, including a remaster of the original episode The House Abandon.
                            "
"
                                    Slime Rancher
                                                                    ",81,7.7,8,"
                            Slime Rancher is the tale of Beatrix LeBeau, a plucky, young rancher who sets out for a life a thousand light years away from Earth on the ¡¥Far, Far Range¡¦ where she tries her hand at making a living wrangling slimes. 
                            "
"
                                    South Park: The Fractured But Whole
                                                                    ",81,6.6,10,"
                            South Park: The Fractured but Whole empowers players to delve into the tender, crime-ridden underbelly of South Park with Coon and Friends. This dedicated group of crime fighters was formed by Eric Cartman, whose superhero alter ego, The Coon, is half man, half raccoon. As The New Kid, players join Mysterion, Toolshed, Human Kite, Mosquito, Mint Berry Crunch and a group of others to battle the forces of evil while Coon strives to make his team some of the most beloved superheroes in history. Creators Matt Stone and Trey Parker were involved in every step of the development of the game. [Ubisoft]
                            "
"
                                    FIFA 18
                                                                    ",81,2.7,9,"
                            Score incredible goals in FIFA 18 as new movement and finishing animations unlock more fluid striking and heading of the ball. All-new crossing controls bring greater options to how you send it into the box. Whipped to the spot, arching deliveries, and pinged crosses to the back-stick will shake up your attacks in the final third. The biggest step in gameplay, FIFA 18 introduces Real Player Motion Technology, an all-new animation system that unlocks the next level of responsiveness and player personality. Now Cristiano Ronaldo and other top players feel and move exactly like they do on the real pitch. From tiki-taka to high press, new Team Styles put the most recognised tactics of the world's best clubs on the pitch in FIFA 18. Enjoy more time and space to read the play through New Player Positioning, while improved tactics give players greater options on the ball as teammates exploit space and make new attacking runs. [Electronic Arts]
                            "
"
                                    Dishonored: Death of the Outsider
                                                                    ",81,7.1,9,"
                            Take on the role of Billie Lurk (aka Megan Foster), once one of Dunwall's most notorious killers-for-hire. Reunited with your old mentor, the legendary assassin Daud, you undertake the greatest assassination ever conceived: killing the Outsider, a god-like figure whom Billie and Daud see as instrumental to some of the Empire's most dishonorable moments. As you venture deep into the grimiest corners of Karnaca to uncover the mystery of the Outsider and his origins, you will face deadly opposition, ancient powers, and difficult decisions that will forever change the world around you.
                            "
"
                                    Antihero
                                                                    ",81,6.7,7,"
                            Run a thieves' guild in a gas-lit Victorian city. Antihero is a fast turn-based strategy game with an (Oliver) Twist. Recruit street urchins, hire thugs, start a gang, upgrade your guild, steal everything... and bribe, blackmail, and assassinate your way to victory.
                            "
"
                                    The Elder Scrolls: Legends
                                                                    ",80,5.6,3,"
                            Welcome to The Elder Scrolls: Legends, a competitive strategy card game set in the Elder Scrolls universe. From building your deck to taking on foes in one of the game¡¦s three exciting modes, every decision you make will require strategy and careful planning. Will you overpower your opponent with brute force? Or will you defeat your foes with speed and cunning? Each deck in The Elder Scrolls: Legends can be crafted using two of the five attributes in the game: Strength, Agility, Intelligence, Endurance and Willpower. 
                            "
"
                                    Endless Space 2
                                                                    ",80,7.7,5,"
                            The sequel to Endless Space. Endless Space 2 is turn-based, 4X space-strategy that will put you in the role of a leader guiding his civilization in making its first steps into the cold depths of interstellar space. Your Vision. Their Future. 
                            "
"
                                    The Evil Within 2
                                                                    ",80,8.9,10,"
                            You are Detective Sebastian Castellanos and at your lowest point. But when given a chance to save your daughter, you must enter a world filled with nightmares and discover the dark origins of a once-idyllic town to bring her back. Horrifying threats emerge from every corner as the world twists and warps around you. Will you face adversity head on with weapons and traps, or sneak through the shadows to survive?
                            "
"
                                    Hand of Fate 2
                                                                    ",80,7.1,11,"
                            Hand of Fate 2 is a dungeon crawler set in a world of dark fantasy. Master a living board game where every stage of the adventure is drawn from a deck of legendary encounters chosen by you.
                            "
"
                                    Flinthook
                                                                    ",80,7.6,4,"
                            Live the life of space captain Flinthook! Armed with your mighty hookshot, your uncanny slow-motion powers and your trusty blasma pistol, plunder and fight your way through an infinite variety of randomly-assembled spaceships for treasure, loot and fame!
                            "
"
                                    Battle Brothers
                                                                    ",80,7.6,3,"
                            Battle Brothers is a turn based strategy RPG mix which has you leading a mercenary company in a gritty, low-power, medieval fantasy world.
                            "
"
                                    Faeria
                                                                    ",80,7.3,3,"
                            Faeria combines the core values of Strategy Card Games together with a Living Board, giving you the ability to shape the board as you play to create mind-blowing strategies. Each game of Faeria is not only unique, beautiful and fast-paced but also highly competitive.
                            "
"
                                    Darkwood
                                                                    ",80,8.3,7,"
                            Darkwood is a game about survival, exploration and fear, set in mysterious woods somewhere in the territory of the Soviet Bloc. It is a top-down, free-roam, surreal horror experience with a randomized world, taking cues from classic games, where oftentimes you had to figure things out for yourself. By blending RPG, roguelike and adventure elements together with a challenging difficulty, Darkwood aims to please players craving for a deep and rewarding experience.

The fear of unknown is powerful  and the unknown will try to remain unseen, forcing you to watch your back. Your senses will be deceived, your sight fooled, your smell tricked by Darkwood's surreal terrors. No answer will be given to you for free, yet somewhere in the woods lies the truth, an explanation to what has happened in this godforsaken place.

Looking for your weakness, your inner demons, only to devour you. Welcome to Darkwood.
                            "
"
                                    The Legend of Heroes: Trails of Cold Steel
                                                                    ",80,7.9,8,"
                            Among the nations on the Zemurian continent, the mighty Erebonian Empire has been quick to stake its claim militarily; yet politically, ugly bouts of internal conflict between the upper class and commoners struggling to rise to power have been steadily intensifying with each passing month. The Noble and Reformist Factions have been none too kind to one another over the years, and tensions between the two only stand to worsen if compromises aren't reached in the very near future.

Rean Schwarzer, like any other citizen of the Imperial nation, is no stranger to these rising conflicts: the class system has been deeply interwoven into the tapestry of Erebonian culture since the days of old. As a seventeen-year-old student preparing for his new life at Thors Military Academy, however, he notices that his crimson uniform differs from the standard outfits issued to his peerstypically green for commoners, and white for nobles.

Enter, Class VII of Thors Military Academy. For the first time in the prestigious academy's history, rank means nothing and skill means everything. With nine hand-picked students of various backgrounds and abilities, Rean included, Class VII readies itself to dive deep into the political quagmire that threatens not only them, but the very foundations of the Empire.
                            "
"
                                    Tooth and Tail
                                                                    ",80,7.5,9,"
                            Lead the revolution with an army of flamethrowing Boars, mustard gas-lobbing Skunks, and paratrooper-puking Owls. Tooth and Tail is a Real-Time-Strategy game featuring Single Player, Online Competitive Play, Split Screen, Replays, and more. Build a base, lead your army, eat your enemies!
                            "
